person_id,person_name,surname,unique_attribute,sex,tribe,person_notes,name_instance,person_sequence,description
Adah_1,Adah,,wife of Lamech (GEN 4:19),female,,"In this dataset, Adah is described as wife of Lamech (GEN 4:19). Recorded as female.",1,11,"In this dataset, Adah is described as wife of Lamech (GEN 4:19). Recorded as female."
Zillah_1,Zillah,,wife of Lamech (GEN 4:19),female,,"In this dataset, Zillah is described as wife of Lamech (GEN 4:19). Recorded as female.",1,12,"In this dataset, Zillah is described as wife of Lamech (GEN 4:19). Recorded as female."
Jabal_1,Jabal,,father of those who dwell in tents and have livestock (GEN 4:20),male,,"In this dataset, Jabal is described as father of those who dwell in tents and have livestock (GEN 4:20). Recorded as male.",1,13,"In this dataset, Jabal is described as father of those who dwell in tents and have livestock (GEN 4:20). Recorded as male."
Jubal_1,Jubal,,father of all those who play the lyre and pipe (GEN 4:21),male,,"In this dataset, Jubal is described as father of all those who play the lyre and pipe (GEN 4:21). Recorded as male.",1,14,"In this dataset, Jubal is described as father of all those who play the lyre and pipe (GEN 4:21). Recorded as male."
Tubal-cain_1,Tubal-cain,,the forger of all implements of bronze and iron (GEN 4:22),male,,"In this dataset, Tubal-cain is described as the forger of all implements of bronze and iron (GEN 4:22). Recorded as male.",1,15,"In this dataset, Tubal-cain is described as the forger of all implements of bronze and iron (GEN 4:22). Recorded as male."
Naamah_1,Naamah,,sister of Tubal-cain (GEN 4:22),female,,"In this dataset, Naamah is described as sister of Tubal-cain (GEN 4:22). Recorded as female.",1,16,"In this dataset, Naamah is described as sister of Tubal-cain (GEN 4:22). Recorded as female."
Seth_1,Seth,,son of Adam (GEN 4:25),male,,"In this dataset, Seth is described as son of Adam (GEN 4:25). Recorded as male.",1,17,"In this dataset, Seth is described as son of Adam (GEN 4:25). Recorded as male."
Enosh_1,Enosh,,son of Seth (GEN 4:26),male,,"In this dataset, Enosh is described as son of Seth (GEN 4:26). Recorded as male.",1,18,"In this dataset, Enosh is described as son of Seth (GEN 4:26). Recorded as male."
Kenan_1,Kenan,,son of Enosh (GEN 5:9),male,,"In this dataset, Kenan is described as son of Enosh (GEN 5:9). Recorded as male.",1,19,"In this dataset, Kenan is described as son of Enosh (GEN 5:9). Recorded as male."
Mahalalel_1,Mahalalel,,son of Kenan (GEN 5:12),male,,"In this dataset, Mahalalel is described as son of Kenan (GEN 5:12). Recorded as male.",1,20,"In this dataset, Mahalalel is described as son of Kenan (GEN 5:12). Recorded as male."
Jared_1,Jared,,son of Mahalael (GEN 5:12),male,,"In this dataset, Jared is described as son of Mahalael (GEN 5:12). Recorded as male.",1,21,"In this dataset, Jared is described as son of Mahalael (GEN 5:12). Recorded as male."
Enoch_2,Enoch,,son of Jared (GEN 5:18),male,,"In this dataset, Enoch is described as son of Jared (GEN 5:18). Recorded as male.",2,22,"In this dataset, Enoch is described as son of Jared (GEN 5:18). Recorded as male."
Methuselah_1,Methuselah,,son of Enoch (GEN 5:21),male,,"In this dataset, Methuselah is described as son of Enoch (GEN 5:21). Recorded as male.",1,23,"In this dataset, Methuselah is described as son of Enoch (GEN 5:21). Recorded as male."
Lamech_2,Lamech,,son of Methuselah (GEN 5:25),male,,"In this dataset, Lamech is described as son of Methuselah (GEN 5:25). Recorded as male.",2,24,"In this dataset, Lamech is described as son of Methuselah (GEN 5:25). Recorded as male."
Noah_1,Noah,,son of Lamech (GEN 5:28-29),male,,"In this dataset, Noah is described as son of Lamech (GEN 5:28-29). Recorded as male.",1,25,"In this dataset, Noah is described as son of Lamech (GEN 5:28-29). Recorded as male."
Shem_1,Shem,,son of Noah (GEN 5:32),male,,"In this dataset, Shem is described as son of Noah (GEN 5:32). Recorded as male.",1,26,"In this dataset, Shem is described as son of Noah (GEN 5:32). Recorded as male."
Ham_1,Ham,,son of Noah (GEN 5:32),male,,"In this dataset, Ham is described as son of Noah (GEN 5:32). Recorded as male.",1,27,"In this dataset, Ham is described as son of Noah (GEN 5:32). Recorded as male."
Japheth_1,Japheth,,son of Noah (GEN 5:32),male,,"In this dataset, Japheth is described as son of Noah (GEN 5:32). Recorded as male.",1,28,"In this dataset, Japheth is described as son of Noah (GEN 5:32). Recorded as male."
Canaan_1,Canaan,,"son of Ham (GEN 9:18), cursed by Noah (GEN 9:25)",male,,"In this dataset, Canaan is described as son of Ham (GEN 9:18), cursed by Noah (GEN 9:25). Recorded as male.",1,29,"In this dataset, Canaan is described as son of Ham (GEN 9:18), cursed by Noah (GEN 9:25). Recorded as male."
Gomer_1,Gomer,,son of Japheth (GEN 10:2),male,,"In this dataset, Gomer is described as son of Japheth (GEN 10:2). Recorded as male.",1,30,"In this dataset, Gomer is described as son of Japheth (GEN 10:2). Recorded as male."
Magog_1,Magog,,son of Japheth (GEN 10:2),male,,"In this dataset, Magog is described as son of Japheth (GEN 10:2). Recorded as male.",1,31,"In this dataset, Magog is described as son of Japheth (GEN 10:2). Recorded as male."
Madai_1,Madai,,son of Japheth (GEN 10:2),male,,"In this dataset, Madai is described as son of Japheth (GEN 10:2). Recorded as male.",1,32,"In this dataset, Madai is described as son of Japheth (GEN 10:2). Recorded as male."
Javan_1,Javan,,son of Japheth (GEN 10:2),male,,"In this dataset, Javan is described as son of Japheth (GEN 10:2). Recorded as male.",1,33,"In this dataset, Javan is described as son of Japheth (GEN 10:2). Recorded as male."
Tubal_1,Tubal,,son of Japheth (GEN 10:2),male,,"In this dataset, Tubal is described as son of Japheth (GEN 10:2). Recorded as male.",1,34,"In this dataset, Tubal is described as son of Japheth (GEN 10:2). Recorded as male."
Meshech_1,Meshech,,son of Japheth (GEN 10:2),male,,"In this dataset, Meshech is described as son of Japheth (GEN 10:2). Recorded as male.",1,35,"In this dataset, Meshech is described as son of Japheth (GEN 10:2). Recorded as male."
Tiras_1,Tiras,,son of Japheth (GEN 10:2),male,,"In this dataset, Tiras is described as son of Japheth (GEN 10:2). Recorded as male.",1,36,"In this dataset, Tiras is described as son of Japheth (GEN 10:2). Recorded as male."
Ashkenaz_1,Ashkenaz,,son of Gomer (GEN 10:3),male,,"In this dataset, Ashkenaz is described as son of Gomer (GEN 10:3). Recorded as male.",1,37,"In this dataset, Ashkenaz is described as son of Gomer (GEN 10:3). Recorded as male."
Riphath_1,Riphath,,son of Gomer (GEN 10:3),male,,"In this dataset, Riphath is described as son of Gomer (GEN 10:3). Recorded as male.",1,38,"In this dataset, Riphath is described as son of Gomer (GEN 10:3). Recorded as male."
Togarmah_1,Togarmah,,son of Gomer (GEN 10:3),male,,"In this dataset, Togarmah is described as son of Gomer (GEN 10:3). Recorded as male.",1,39,"In this dataset, Togarmah is described as son of Gomer (GEN 10:3). Recorded as male."
Elishah_1,Elishah,,son of Javan (GEN 10:4),male,,"In this dataset, Elishah is described as son of Javan (GEN 10:4). Recorded as male.",1,40,"In this dataset, Elishah is described as son of Javan (GEN 10:4). Recorded as male."
Tarshish_1,Tarshish,,son of Javan (GEN 10:4),male,,"In this dataset, Tarshish is described as son of Javan (GEN 10:4). Recorded as male.",1,41,"In this dataset, Tarshish is described as son of Javan (GEN 10:4). Recorded as male."
Kittim_1,Kittim,,son of Javan (GEN 10:4),male,,"In this dataset, Kittim is described as son of Javan (GEN 10:4). Recorded as male.",1,42,"In this dataset, Kittim is described as son of Javan (GEN 10:4). Recorded as male."
Dodanim_1,Dodanim,,son of Javan (GEN 10:4),male,,"In this dataset, Dodanim is described as son of Javan (GEN 10:4). Recorded as male.",1,43,"In this dataset, Dodanim is described as son of Javan (GEN 10:4). Recorded as male."
Cush_1,Cush,,son of Ham (GEN 10:6),male,,"In this dataset, Cush is described as son of Ham (GEN 10:6). Recorded as male.",1,44,"In this dataset, Cush is described as son of Ham (GEN 10:6). Recorded as male."
Mizraim_1,Mizraim,,son of Ham (GEN 10:6),male,,"In this dataset, Mizraim is described as son of Ham (GEN 10:6). Recorded as male.",1,45,"In this dataset, Mizraim is described as son of Ham (GEN 10:6). Recorded as male."
Put_1,Put,,son of Ham (GEN 10:6),male,,"In this dataset, Put is described as son of Ham (GEN 10:6). Recorded as male.",1,46,"In this dataset, Put is described as son of Ham (GEN 10:6). Recorded as male."
Seba_1,Seba,,son of Cush (GEN 10:7),male,,"In this dataset, Seba is described as son of Cush (GEN 10:7). Recorded as male.",1,47,"In this dataset, Seba is described as son of Cush (GEN 10:7). Recorded as male."
Havilah_1,Havilah,,son of Cush (GEN 10:7),male,,"In this dataset, Havilah is described as son of Cush (GEN 10:7). Recorded as male.",1,48,"In this dataset, Havilah is described as son of Cush (GEN 10:7). Recorded as male."
Sabtah_1,Sabtah,,son of Cush (GEN 10:7),male,,"In this dataset, Sabtah is described as son of Cush (GEN 10:7). Recorded as male.",1,49,"In this dataset, Sabtah is described as son of Cush (GEN 10:7). Recorded as male."
Raamah_1,Raamah,,son of Cush (GEN 10:7),male,,"In this dataset, Raamah is described as son of Cush (GEN 10:7). Recorded as male.",1,50,"In this dataset, Raamah is described as son of Cush (GEN 10:7). Recorded as male."
Sabteca_1,Sabteca,,son of Cush (GEN 10:7),male,,"In this dataset, Sabteca is described as son of Cush (GEN 10:7). Recorded as male.",1,51,"In this dataset, Sabteca is described as son of Cush (GEN 10:7). Recorded as male."
Sheba_1,Sheba,,son of Raamah (GEN 10:7),male,,"In this dataset, Sheba is described as son of Raamah (GEN 10:7). Recorded as male.",1,52,"In this dataset, Sheba is described as son of Raamah (GEN 10:7). Recorded as male."
Dedan_1,Dedan,,son of Raamah (GEN 10:7),male,,"In this dataset, Dedan is described as son of Raamah (GEN 10:7). Recorded as male.",1,53,"In this dataset, Dedan is described as son of Raamah (GEN 10:7). Recorded as male."
Nimrod_1,Nimrod,,"son of Cush (GEN 10:8), a mighty hunter before the LORD (GEN 10:9)",male,,"In this dataset, Nimrod is described as son of Cush (GEN 10:8), a mighty hunter before the LORD (GEN 10:9). Recorded as male.",1,54,"In this dataset, Nimrod is described as son of Cush (GEN 10:8), a mighty hunter before the LORD (GEN 10:9). Recorded as male."
Lud_1,Lud,,son of Mizraim (GEN 10:13),male,,"In this dataset, Lud is described as son of Mizraim (GEN 10:13). Recorded as male.",1,55,"In this dataset, Lud is described as son of Mizraim (GEN 10:13). Recorded as male."
Anam_1,Anam,,son of Mizraim (GEN 10:13),male,,"In this dataset, Anam is described as son of Mizraim (GEN 10:13). Recorded as male.",1,56,"In this dataset, Anam is described as son of Mizraim (GEN 10:13). Recorded as male."
Lehab_1,Lehab,,son of Mizraim (GEN 10:13),male,,"In this dataset, Lehab is described as son of Mizraim (GEN 10:13). Recorded as male.",1,57,"In this dataset, Lehab is described as son of Mizraim (GEN 10:13). Recorded as male."
Naphtuh_1,Naphtuh,,son of Mizraim (GEN 10:13),male,,"In this dataset, Naphtuh is described as son of Mizraim (GEN 10:13). Recorded as male.",1,58,"In this dataset, Naphtuh is described as son of Mizraim (GEN 10:13). Recorded as male."
Pathrus_1,Pathrus,,son of Mizraim (GEN 10:14),male,,"In this dataset, Pathrus is described as son of Mizraim (GEN 10:14). Recorded as male.",1,59,"In this dataset, Pathrus is described as son of Mizraim (GEN 10:14). Recorded as male."
Casluh_1,Casluh,,son of Mizraim-from which come the Philistines (GEN 10:14),male,,"In this dataset, Casluh is described as son of Mizraim-from which come the Philistines (GEN 10:14). Recorded as male.",1,60,"In this dataset, Casluh is described as son of Mizraim-from which come the Philistines (GEN 10:14). Recorded as male."
Caphtor_1,Caphtor,,son of Mizraim (GEN 10:14),male,,"In this dataset, Caphtor is described as son of Mizraim (GEN 10:14). Recorded as male.",1,61,"In this dataset, Caphtor is described as son of Mizraim (GEN 10:14). Recorded as male."
Sidon_1,Sidon,,son of Canaan (GEN 10:15),male,,"In this dataset, Sidon is described as son of Canaan (GEN 10:15). Recorded as male.",1,62,"In this dataset, Sidon is described as son of Canaan (GEN 10:15). Recorded as male."
Heth_1,Heth,,son of Canaan (GEN 10:15),male,Hittite,"In this dataset, Heth is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Hittite.",1,63,"In this dataset, Heth is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Hittite."
Jebus_1,Jebus,,son of Canaan (GEN 10:15),male,Jebusite,"In this dataset, Jebus is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Jebusite.",1,64,"In this dataset, Jebus is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Jebusite."
Amor_1,Amor,,son of Canaan (GEN 10:15),male,Amorite,"In this dataset, Amor is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Amorite.",1,65,"In this dataset, Amor is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Amorite."
Girgash_1,Girgash,,son of Canaan (GEN 10:15),male,Girgashite,"In this dataset, Girgash is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Girgashite.",1,66,"In this dataset, Girgash is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Girgashite."
Hivi_1,Hivi,,son of Canaan (GEN 10:15),male,Hivites,"In this dataset, Hivi is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Hivites.",1,67,"In this dataset, Hivi is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Hivites."
Ark_1,Ark,,son of Canaan (GEN 10:15),male,Arkite,"In this dataset, Ark is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Arkite.",1,68,"In this dataset, Ark is described as son of Canaan (GEN 10:15). Recorded as male; listed with tribe: Arkite."
Sini_1,Sini,,son of Canaan (GEN 10:15),male,,"In this dataset, Sini is described as son of Canaan (GEN 10:15). Recorded as male.",1,69,"In this dataset, Sini is described as son of Canaan (GEN 10:15). Recorded as male."
Arvad_1,Arvad,,son of Canaan (GEN 10:15),male,,"In this dataset, Arvad is described as son of Canaan (GEN 10:15). Recorded as male.",1,70,"In this dataset, Arvad is described as son of Canaan (GEN 10:15). Recorded as male."
Zemar_1,Zemar,,son of Canaan (GEN 10:15),male,,"In this dataset, Zemar is described as son of Canaan (GEN 10:15). Recorded as male.",1,71,"In this dataset, Zemar is described as son of Canaan (GEN 10:15). Recorded as male."
Hamath_1,Hamath,,son of Canaan (GEN 10:15),male,,"In this dataset, Hamath is described as son of Canaan (GEN 10:15). Recorded as male.",1,72,"In this dataset, Hamath is described as son of Canaan (GEN 10:15). Recorded as male."
Eber_1,Eber,,"descendant of Shem (GEN 10:21), son of Shelah (GEN 10:24)",male,,"In this dataset, Eber is described as descendant of Shem (GEN 10:21), son of Shelah (GEN 10:24). Recorded as male.",1,73,"In this dataset, Eber is described as descendant of Shem (GEN 10:21), son of Shelah (GEN 10:24). Recorded as male."
Elam_1,Elam,,son of Shem (GEN 10:22),male,,"In this dataset, Elam is described as son of Shem (GEN 10:22). Recorded as male.",1,74,"In this dataset, Elam is described as son of Shem (GEN 10:22). Recorded as male."
Asshur_1,Asshur,,son of Shem (GEN 10:22),male,,"In this dataset, Asshur is described as son of Shem (GEN 10:22). Recorded as male.",1,75,"In this dataset, Asshur is described as son of Shem (GEN 10:22). Recorded as male."
Arpachshad_1,Arpachshad,,son of Shem (GEN 10:22),male,,"In this dataset, Arpachshad is described as son of Shem (GEN 10:22). Recorded as male.",1,76,"In this dataset, Arpachshad is described as son of Shem (GEN 10:22). Recorded as male."
Lud_2,Lud,,son of Shem (GEN 10:22),male,,"In this dataset, Lud is described as son of Shem (GEN 10:22). Recorded as male.",2,77,"In this dataset, Lud is described as son of Shem (GEN 10:22). Recorded as male."
Aram_1,Aram,,son of Shem (GEN 10:22),male,,"In this dataset, Aram is described as son of Shem (GEN 10:22). Recorded as male.",1,78,"In this dataset, Aram is described as son of Shem (GEN 10:22). Recorded as male."
Uz_1,Uz,,son of Aram (GEN 10:23),male,,"In this dataset, Uz is described as son of Aram (GEN 10:23). Recorded as male.",1,79,"In this dataset, Uz is described as son of Aram (GEN 10:23). Recorded as male."
Hul_1,Hul,,son of Aram (GEN 10:23),male,,"In this dataset, Hul is described as son of Aram (GEN 10:23). Recorded as male.",1,80,"In this dataset, Hul is described as son of Aram (GEN 10:23). Recorded as male."
Gether_1,Gether,,son of Aram (GEN 10:23),male,,"In this dataset, Gether is described as son of Aram (GEN 10:23). Recorded as male.",1,81,"In this dataset, Gether is described as son of Aram (GEN 10:23). Recorded as male."
Mash_1,Mash,,son of Aram (GEN 10:23),male,,"In this dataset, Mash is described as son of Aram (GEN 10:23). Recorded as male.",1,82,"In this dataset, Mash is described as son of Aram (GEN 10:23). Recorded as male."
Shelah_1,Shelah,,"son of Arpachshad (GEN 10:24, GEN 11:12)",male,,"In this dataset, Shelah is described as son of Arpachshad (GEN 10:24, GEN 11:12). Recorded as male.",1,83,"In this dataset, Shelah is described as son of Arpachshad (GEN 10:24, GEN 11:12). Recorded as male."
Peleg_1,Peleg,,"son of Eber, in his days the earth was divided (GEN 10:25)",male,,"In this dataset, Peleg is described as son of Eber, in his days the earth was divided (GEN 10:25). Recorded as male.",1,84,"In this dataset, Peleg is described as son of Eber, in his days the earth was divided (GEN 10:25). Recorded as male."
Joktan_1,Joktan,,son of Eber (GEN 10:25),male,,"In this dataset, Joktan is described as son of Eber (GEN 10:25). Recorded as male.",1,85,"In this dataset, Joktan is described as son of Eber (GEN 10:25). Recorded as male."
Almodad_1,Almodad,,son of Joktan (GEN 10:26),male,,"In this dataset, Almodad is described as son of Joktan (GEN 10:26). Recorded as male.",1,86,"In this dataset, Almodad is described as son of Joktan (GEN 10:26). Recorded as male."
Sheleph_1,Sheleph,,son of Joktan (GEN 10:26),male,,"In this dataset, Sheleph is described as son of Joktan (GEN 10:26). Recorded as male.",1,87,"In this dataset, Sheleph is described as son of Joktan (GEN 10:26). Recorded as male."
Hazarmaveth_1,Hazarmaveth,,son of Joktan (GEN 10:26),male,,"In this dataset, Hazarmaveth is described as son of Joktan (GEN 10:26). Recorded as male.",1,88,"In this dataset, Hazarmaveth is described as son of Joktan (GEN 10:26). Recorded as male."
Jerah_1,Jerah,,son of Joktan (GEN 10:26),male,,"In this dataset, Jerah is described as son of Joktan (GEN 10:26). Recorded as male.",1,89,"In this dataset, Jerah is described as son of Joktan (GEN 10:26). Recorded as male."
Hadoram_1,Hadoram,,son of Joktan (GEN 10:27),male,,"In this dataset, Hadoram is described as son of Joktan (GEN 10:27). Recorded as male.",1,90,"In this dataset, Hadoram is described as son of Joktan (GEN 10:27). Recorded as male."
Uzal_1,Uzal,,son of Joktan (GEN 10:27),male,,"In this dataset, Uzal is described as son of Joktan (GEN 10:27). Recorded as male.",1,91,"In this dataset, Uzal is described as son of Joktan (GEN 10:27). Recorded as male."
Diklah_1,Diklah,,son of Joktan (GEN 10:27),male,,"In this dataset, Diklah is described as son of Joktan (GEN 10:27). Recorded as male.",1,92,"In this dataset, Diklah is described as son of Joktan (GEN 10:27). Recorded as male."
Obal_1,Obal,,son of Joktan (GEN 10:28),male,,"In this dataset, Obal is described as son of Joktan (GEN 10:28). Recorded as male.",1,93,"In this dataset, Obal is described as son of Joktan (GEN 10:28). Recorded as male."
Abimael_1,Abimael,,son of Joktan (GEN 10:28),male,,"In this dataset, Abimael is described as son of Joktan (GEN 10:28). Recorded as male.",1,94,"In this dataset, Abimael is described as son of Joktan (GEN 10:28). Recorded as male."
Sheba_2,Sheba,,son of Joktan (GEN 10:28),male,,"In this dataset, Sheba is described as son of Joktan (GEN 10:28). Recorded as male.",2,95,"In this dataset, Sheba is described as son of Joktan (GEN 10:28). Recorded as male."
Ophir_1,Ophir,,son of Joktan (GEN 10:29),male,,"In this dataset, Ophir is described as son of Joktan (GEN 10:29). Recorded as male.",1,96,"In this dataset, Ophir is described as son of Joktan (GEN 10:29). Recorded as male."
Havilah_2,Havilah,,son of Joktan (GEN 10:29),male,,"In this dataset, Havilah is described as son of Joktan (GEN 10:29). Recorded as male.",2,97,"In this dataset, Havilah is described as son of Joktan (GEN 10:29). Recorded as male."
Jobab_1,Jobab,,son of Joktan (GEN 10:29),male,,"In this dataset, Jobab is described as son of Joktan (GEN 10:29). Recorded as male.",1,98,"In this dataset, Jobab is described as son of Joktan (GEN 10:29). Recorded as male."
Reu_1,Reu,,son of Peleg (GEN 11:19),male,,"In this dataset, Reu is described as son of Peleg (GEN 11:19). Recorded as male.",1,99,"In this dataset, Reu is described as son of Peleg (GEN 11:19). Recorded as male."
Serug_1,Serug,,son of Reu (GEN 11:20),male,,"In this dataset, Serug is described as son of Reu (GEN 11:20). Recorded as male.",1,100,"In this dataset, Serug is described as son of Reu (GEN 11:20). Recorded as male."
Nahor_1,Nahor,,son of Serug (GEN 11:22),male,,"In this dataset, Nahor is described as son of Serug (GEN 11:22). Recorded as male.",1,101,"In this dataset, Nahor is described as son of Serug (GEN 11:22). Recorded as male."
Terah_1,Terah,,son of Nahor(GEN 11:24),male,,"In this dataset, Terah is described as son of Nahor(GEN 11:24). Recorded as male.",1,102,"In this dataset, Terah is described as son of Nahor(GEN 11:24). Recorded as male."
Abram_1,Abram,,son of Terah (GEN 11:26),male,,"In this dataset, Abram is described as son of Terah (GEN 11:26). Recorded as male.",1,103,"In this dataset, Abram is described as son of Terah (GEN 11:26). Recorded as male."
Nahor_2,Nahor,,son of Terah (GEN 11:26),male,,"In this dataset, Nahor is described as son of Terah (GEN 11:26). Recorded as male.",2,104,"In this dataset, Nahor is described as son of Terah (GEN 11:26). Recorded as male."
Haran_1,Haran,,son of Terah (GEN 11:26),male,,"In this dataset, Haran is described as son of Terah (GEN 11:26). Recorded as male.",1,105,"In this dataset, Haran is described as son of Terah (GEN 11:26). Recorded as male."
Lot_1,Lot,,"son of Haran (GEN 11:27), nephew of Abram (GEN 12:5)",male,,"In this dataset, Lot is described as son of Haran (GEN 11:27), nephew of Abram (GEN 12:5). Recorded as male.",1,106,"In this dataset, Lot is described as son of Haran (GEN 11:27), nephew of Abram (GEN 12:5). Recorded as male."
Sarai_1,Sarai,,Abram's wife (11:29),female,,"In this dataset, Sarai is described as Abram's wife (11:29). Recorded as female.",1,107,"In this dataset, Sarai is described as Abram's wife (11:29). Recorded as female."
Milcah_1,Milcah,,"Nahor's wife (and niece), the daughter of Haran (GEN 11:29)",female,,"In this dataset, Milcah is described as Nahor's wife (and niece), the daughter of Haran (GEN 11:29). Recorded as female.",1,108,"In this dataset, Milcah is described as Nahor's wife (and niece), the daughter of Haran (GEN 11:29). Recorded as female."
Iscah_1,Iscah,,daughter of Haran (GEN 11:29),female,,"In this dataset, Iscah is described as daughter of Haran (GEN 11:29). Recorded as female.",1,109,"In this dataset, Iscah is described as daughter of Haran (GEN 11:29). Recorded as female."
Pharaoh_1,Pharaoh,,who took Sarai (GEN 12:15),male,,"In this dataset, Pharaoh is described as who took Sarai (GEN 12:15). Recorded as male.",1,110,"In this dataset, Pharaoh is described as who took Sarai (GEN 12:15). Recorded as male."
Amraphel_1,Amraphel,,King of Shinar (GEN 14:1),male,,"In this dataset, Amraphel is described as King of Shinar (GEN 14:1). Recorded as male.",1,111,"In this dataset, Amraphel is described as King of Shinar (GEN 14:1). Recorded as male."
Arioch_1,Arioch,,King of Ellasar (GEN 14:1),male,,"In this dataset, Arioch is described as King of Ellasar (GEN 14:1). Recorded as male.",1,112,"In this dataset, Arioch is described as King of Ellasar (GEN 14:1). Recorded as male."
Chedorlaomer_1,Chedorlaomer,,King of Elam (GEN 14:1),male,,"In this dataset, Chedorlaomer is described as King of Elam (GEN 14:1). Recorded as male.",1,113,"In this dataset, Chedorlaomer is described as King of Elam (GEN 14:1). Recorded as male."
Tidal_1,Tidal,,King of Goiim (GEN 14:1),male,,"In this dataset, Tidal is described as King of Goiim (GEN 14:1). Recorded as male.",1,114,"In this dataset, Tidal is described as King of Goiim (GEN 14:1). Recorded as male."
Bera_1,Bera,,King of Sodom (GEN 14:2),male,,"In this dataset, Bera is described as King of Sodom (GEN 14:2). Recorded as male.",1,115,"In this dataset, Bera is described as King of Sodom (GEN 14:2). Recorded as male."
Birsha_1,Birsha,,King of Gomorrah (GEN 14:2),male,,"In this dataset, Birsha is described as King of Gomorrah (GEN 14:2). Recorded as male.",1,116,"In this dataset, Birsha is described as King of Gomorrah (GEN 14:2). Recorded as male."
Shinab_1,Shinab,,King of Admah (GEN 14:2),male,,"In this dataset, Shinab is described as King of Admah (GEN 14:2). Recorded as male.",1,117,"In this dataset, Shinab is described as King of Admah (GEN 14:2). Recorded as male."
Shemeber_1,Shemeber,,King of Zeboiim (GEN 14:2),male,,"In this dataset, Shemeber is described as King of Zeboiim (GEN 14:2). Recorded as male.",1,118,"In this dataset, Shemeber is described as King of Zeboiim (GEN 14:2). Recorded as male."
King of Bela_1,King of Bela,,"King of Bela (that is, Zoar) (GEN 14:2)",male,,"In this dataset, King of Bela is described as King of Bela (that is, Zoar) (GEN 14:2). Recorded as male.",1,119,"In this dataset, King of Bela is described as King of Bela (that is, Zoar) (GEN 14:2). Recorded as male."
Mamre_1,Mamre,,the Amorite (GEN 14:13),male,Amorite,"In this dataset, Mamre is described as the Amorite (GEN 14:13). Recorded as male; listed with tribe: Amorite.",1,120,"In this dataset, Mamre is described as the Amorite (GEN 14:13). Recorded as male; listed with tribe: Amorite."
